development_name,borough,development_acc_unit_count,inspection_date,raw_score,h_s_score,smoke_detectors,reac_date_2,second_score,second_h_s_score,second_smoke_detectors,reac_date_3,third_score,third_h_s_score,third_smoke_detectors,latitude,longitude
West Brighton I & Ii,Staten Island,634,2022-11-04T00:00:00Z,21,C,Yes,2019-08-05T00:00:00Z,50,C,Yes,2015-11-30T00:00:00Z,85,,No,40.636555,-74.119542
Jacob Riis,New York,1765,2022-06-21T00:00:00Z,60,C,Yes,2018-10-02T00:00:00Z,49,,No,2017-01-23T00:00:00Z,66,,No,40.717,-73.9758
Amsterdam,New York,1459,2023-01-20T00:00:00Z,20,C,Yes,NA,NA,NA,NA,NA,NA,NA,NA,40.768083,-73.991065
Melrose,Bronx,1244,2022-12-22T00:00:00Z,25,C,Yes,2019-07-15T00:00:00Z,60,C,Yes,2015-12-07T00:00:00Z,82,,No,40.819835,-73.919493
King Towers,New York,1375,2023-03-09T00:00:00Z,22,C,Yes,2019-09-09T00:00:00Z,52,C,Yes,2016-11-29T00:00:00Z,71,,No,40.79931,-73.94827
Albany I & Ii,Brooklyn,1225,2022-10-12T00:00:00Z,7,C,No,2019-08-05T00:00:00Z,31,,No,2017-01-09T00:00:00Z,64,,No,40.673647,-73.937623
Bronx River & Addition,Bronx,1553,2023-03-15T00:00:00Z,35,C,Yes,2019-07-08T00:00:00Z,17,C,Yes,2017-01-18T00:00:00Z,69,,No,40.833398,-73.877008
Eastchester Gardens,Bronx,1056,2023-01-25T00:00:00Z,10,C,No,2019-07-09T00:00:00Z,7,C,Yes,2016-12-06T00:00:00Z,76,,No,40.844728,-73.829135
South Beach,Staten Island,699,2022-11-23T00:00:00Z,57,C,No,2018-09-17T00:00:00Z,75,C,No,2015-12-01T00:00:00Z,82,,No,40.613029,-74.061546
Nostrand,Brooklyn,2204,2023-02-21T00:00:00Z,70,C,Yes,2018-10-22T00:00:00Z,72,C,No,2015-12-24T00:00:00Z,43,,No,40.597153,-73.938177
