development,x_need_20,total_number_of_apartments,cap_per_unit,cat_1,cat_1_amt,cat_2,cat_2_amt,cat_3,cat_3_amt
GOMPERS,201828650.26999998,474,425798.84023206745,Apartments,93282897.28999999,Building Exterior/Facade/Window,25808505.349999998,Heating,25531106.28
GOWANUS,639337526.26,1139,561314.7728358209,Apartments,211291153.62,Heating,100317553.96000001,Plumbing,98798945.97
GRANT,914162060.67,1940,471217.5570463917,Apartments,399269180.84,Heating,151258031.37,Plumbing,111162439.14999999
GRAVESEND,297589722.72,634,469384.4206940064,Apartments,102092142.45,Building Exterior/Facade/Window,68014356.64,Plumbing,37106362.76
GUN HILL,369138150.69,733,503599.11417462485,Apartments,127156588.89,Heating,75829170.03,Building Exterior/Facade/Window,46216194.559999995
HABER,137671424.36,380,362293.222,Apartments,62962586.18,Building Exterior/Facade/Window,19489124.61,Heating,13534657.5
HAMMEL,370051663.85,712,519735.4829353933,Apartments,143403444.87,Building Exterior/Facade/Window,70587172.73,Heating,33711439.39
HARBORVIEW TERRACE,163262894.11,377,433058.0745623343,Apartments,62295366.26,Heating,41582706.53,Grounds,10486566.51
HARRISON AVENUE REHAB (GROUP A),17527512.93,34,515515.08617647056,Apartments,6493110.32,Building Exterior/Facade/Window,3850311.88,Heating,1615831.06
HARRISON AVENUE REHAB (GROUP B),78276940.65,150,521846.27100000007,Apartments,29067444.810000002,Building Exterior/Facade/Window,16709296.940000001,Heating,7351835.95
HERNANDEZ,61316836.17,149,411522.39040268457,Apartments,26349563.41,Building Exterior/Facade/Window,11274457.84,Heating,7231415.090000001
HIGHBRIDGE GARDENS,316793467.1,700,452562.0958571429,Apartments,108097005.1,Heating,52899324.51,Building Exterior/Facade/Window,31118393.41
HOE AVENUE-EAST 173RD STREET,31778937.119999997,65,488906.72492307686,Apartments,12155099.12,Heating,7098834.84,Common Areas/Lobbies,2559475.95
HOLMES TOWERS,192635945.44,537,358726.1553817505,Apartments,91594385.48,Heating,38285344.79,Building Exterior/Facade/Window,21963806.02
HOWARD,382399968.88,815,469202.41580368095,Apartments,138473105.27,Heating,84323694.54,Building Exterior/Facade/Window,40240164.84
HOWARD AVENUE,62290544.98,150,415270.29986666667,Apartments,29552703.2,Roofs,7240529.81,Heating,6637285.92
HOWARD AVENUE-PARK PLACE,104896357.09,156,672412.545448718,Apartments,38185729.72,Heating,26037420.39,Roofs,19374049.46
